epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.7328000000000003,1.381703453711349,0.001,0.656,1.3825923761546735
2,0.748933333333333,1.3496378477492978,0.001,0.73,1.3600527561607438
3,0.7667999999999999,1.3373933487529064,0.001,0.71,1.3824377454083263
4,0.7981333333333335,1.3202233880345857,0.001,0.714,1.3633070545927082
